BRA	Jéssica Andrade[47]	Bate Estaca	6–3
POL	Joanna Jędrzejczyk (C)		6–0
USA	Paige VanZant	12 Gauge	4–1
SCT	Joanne Calderwood	Badmofo JoJo	3–2
CAN	Valérie Létourneau	Trouble	3–2
USA	Rose Namajunas	Thug	3–2
IRQ	Randa Markos	Quiet Storm	2–3
UKR	Maryna Moroz	The Iron Woman	3–1
USA	Tecia Torres	The Tiny Tornado	3–1
USA	Cortney Casey	Cast Iron	2–2
BRA	Cláudia Gadelha	Claudinha	2–2
BRA	Juliana Lima	Ju Thai	2–2
AUS	Bec Rawlings	Rowdy	2–2
USA	Kailin Curran		1–3
POL	Karolina Kowalkiewicz		3–0
IRE	Aisling Daly	Ais the Bash	2–1
USA	Carla Esparza	Cookie Monster	2–1
USA	Felice Herrig	Lil Bulldog	2–1
AUS	Alex Chambers	Astro Girl	1–2
KOR	Seohee Ham	Hamderlei Silva	1–2
USA	Jessica Penne		1–2
USA	Heather Jo Clark	Hurricane	1–1
USA	Nina Ansaroff	The Strina	0–2
USA	Jocelyn Jones-Lybarger	Lights Out	0–2
USA	Angela Magaña	Your Majesty	0–2
MDA	Alexandra Albu	Stitch	1–0
RUS	Justine Kish		1–0
USA	Tatiana Suarez		1–0
USA	Michelle Waterson	The Karate Hottie	1–0
MEX	Jessica Aguilar	Jag	0–1
USA	Amanda Cooper	ABC	0–1
DEN	Anna Elmose[48]	Panda	0–1
FIN	Tina Lähdemäki	Jelly Bean	0–1
USA	Danielle Taylor	Dynamite	0–1
BRA	Poliana Botelho[49]		0–0
MEX	Alexa Grasso		0–0
USA	Jamie Moyle[50]		0–0
BRA	Viviane Pereira[51]	Sucuri	0–0
