USA	Ronda Rousey	Rowdy	6–1
USA	Miesha Tate	Cupcake	7–4
CAN	Alexis Davis	Ally-Gator	6–2
BRA	Amanda Nunes (C)	The Lioness	6–2
USA	Raquel Pennington	Rocky	5–2
USA	Jessica Eye	Evil	1–5 (1 NC)
BRA	Bethe Correia	Pitbull	4–2
NED	Germaine de Randamie	The Iron Lady	4–2
USA	Sara McMann		3–3
USA	Liz Carmouche	Girlrilla	2–4
USA	Holly Holm	The Preacher's Daughter	3–2
USA	Leslie Smith	The Peacemaker	2–3
USA	Julianna Peña	The Venezuelan Vixen	4–0
USA	Marion Reneau	Belizean Bruiser	2–2
USA	Cat Zingano	Alpha	2–2
USA	Lauren Murphy	Lucky	1–3
BRA	Cris Justino	Cyborg	2–0 (1 NC)
USA	Ashlee Evans-Smith		2–1
KYR	Valentina Shevchenko	Bullet	2–1
RUS	Milana Dudieva		1–1
CAN	Sarah Moras	Cheesecake	1–1
USA	Kelly Faszholz		0–2
USA	Katlyn Chookagian	Blonde Fighter	1–0
BRA	Ketlen Vieira	Fenomeno	1–0
SWE	Lina Länsberg	Elbow Princess	0–1
VEN	Veronica Macedo		0–1
